old_url,status,new_url,target_keyword,priority,notes
https://www.beriklan.co.id/harga-core-drill-beton.html,REMOVE_410,,harga-core-drill-beton,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/harga-core-drill.html,REMOVE_410,,harga-core-drill,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/harga-coring-beton.html,REMOVE_410,,harga-coring-beton,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/core-drill-beton.html,REMOVE_410,,core-drill-beton,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/alat-laboratorium-uji-tanah.html,REMOVE_410,,alat-laboratorium-uji-tanah,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/alat-laboratorium-beton.html,REMOVE_410,,alat-laboratorium-beton,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/jual-alat-lab-tanah.html,REMOVE_410,,jual-alat-lab-tanah,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/jual-alat-uji-laboratorium-aspal.html,REMOVE_410,,jual-alat-uji-laboratorium-aspal,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/jual-alat-lab-beton.html,REMOVE_410,,jual-alat-lab-beton,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/laboratorium-teknik-sipil.html,REMOVE_410,,laboratorium-teknik-sipil,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/harga-alat-laboratorium-teknik-sipil.html,REMOVE_410,,harga-alat-laboratorium-teknik-sipil,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/alat-teknik-sipil.html,REMOVE_410,,alat-teknik-sipil,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/supplier-alat-teknik-sipil.html,REMOVE_410,,supplier-alat-teknik-sipil,LOW,Construction/lab equipment topic; not relevant to business
https://www.beriklan.co.id/iklan-google-search.html,REWRITE,https://beriklan.co.id/blog/iklan-google-search,iklan google search,MEDIUM,Marketing/dev pillar post (iklan-google-search)
https://www.beriklan.co.id/beriklan-dengan-google-ads.html,REWRITE,https://beriklan.co.id/blog/beriklan-dengan-google-ads,beriklan dengan google ads,MEDIUM,Marketing/dev pillar post (beriklan-dengan-google-ads)
https://www.beriklan.co.id/jasa-iklan-digital.html,REWRITE,https://beriklan.co.id/blog/jasa-iklan-digital,jasa iklan digital,HIGH,Marketing/dev pillar post (jasa-iklan-digital)
https://www.beriklan.co.id/jasa-iklan-google-ads-jakarta-2025.html,MERGE,https://beriklan.co.id/blog/jasa-iklan-google-ads-jakarta,jasa iklan google ads jakarta,LOW,Year variant of jasa-iklan-google-ads-jakarta
https://www.beriklan.co.id/biaya-pasang-iklan-google-ads.html,REWRITE,https://beriklan.co.id/blog/biaya-pasang-iklan-google-ads,biaya pasang iklan google ads,MEDIUM,Marketing/dev pillar post (biaya-pasang-iklan-google-ads)
https://www.beriklan.co.id/iklan-instagram-ads.html,REWRITE,https://beriklan.co.id/blog/iklan-instagram-ads,iklan instagram ads,MEDIUM,Marketing/dev pillar post (iklan-instagram-ads)
https://www.beriklan.co.id/harga-iklan-di-google-ads.html,REWRITE,https://beriklan.co.id/blog/harga-iklan-di-google-ads,harga iklan di google ads,MEDIUM,Marketing/dev pillar post (harga-iklan-di-google-ads)
https://www.beriklan.co.id/iklan-ads-facebook.html,REWRITE,https://beriklan.co.id/blog/iklan-ads-facebook,iklan ads facebook,MEDIUM,Marketing/dev pillar post (iklan-ads-facebook)
https://www.beriklan.co.id/iklan-video-youtube.html,REWRITE,https://beriklan.co.id/blog/iklan-video-youtube,iklan video youtube,HIGH,Marketing/dev pillar post (iklan-video-youtube)
https://www.beriklan.co.id/beriklan-di-facebook-2025.html,MERGE,https://beriklan.co.id/blog/beriklan-di-facebook,beriklan di facebook,LOW,Duplicate/variant of beriklan-di-facebook
https://www.beriklan.co.id/harga-iklan-google-ads.html,REWRITE,https://beriklan.co.id/blog/harga-iklan-google-ads,harga iklan google ads,MEDIUM,Cluster/auto-classified as REWRITE
https://www.beriklan.co.id/web-google-ads.html,REWRITE,https://beriklan.co.id/blog/web-google-ads,web google ads,MEDIUM,Marketing/dev pillar post (web-google-ads)
https://www.beriklan.co.id/google-ads-harga.html,REWRITE,https://beriklan.co.id/blog/google-ads-harga,google ads harga,MEDIUM,Marketing/dev pillar post (google-ads-harga)
https://www.beriklan.co.id/beriklan-di-google-ads-2025.html,MERGE,https://beriklan.co.id/blog/beriklan-di-google-ads,beriklan di google ads,LOW,Duplicate/variant of beriklan-di-google-ads
https://www.beriklan.co.id/jasa-iklan-youtube-2025.html,MERGE,https://beriklan.co.id/blog/jasa-iklan-youtube,jasa iklan youtube,LOW,Duplicate/variant of jasa-iklan-youtube
https://www.beriklan.co.id/harga-iklan-di-google.html,REWRITE,https://beriklan.co.id/blog/harga-iklan-di-google,harga iklan di google,MEDIUM,Cluster/auto-classified as REWRITE
https://www.beriklan.co.id/iklan-facebook-ads.html,REWRITE,https://beriklan.co.id/blog/iklan-facebook-ads,iklan facebook ads,MEDIUM,Marketing/dev pillar post (iklan-facebook-ads)
https://www.beriklan.co.id/iklan-website.html,REWRITE,https://beriklan.co.id/blog/iklan-website,iklan website,MEDIUM,Marketing/dev pillar post (iklan-website)
https://www.beriklan.co.id/harga-google-ads.html,REWRITE,https://beriklan.co.id/blog/harga-google-ads,harga google ads,MEDIUM,Marketing/dev pillar post (harga-google-ads)
https://www.beriklan.co.id/google-ads-iklan.html,REWRITE,https://beriklan.co.id/blog/google-ads-iklan,google ads iklan,MEDIUM,Marketing/dev pillar post (google-ads-iklan)
https://www.beriklan.co.id/iklan-google.html,REWRITE,https://beriklan.co.id/blog/iklan-google,iklan google,MEDIUM,Marketing/dev pillar post (iklan-google)
https://www.beriklan.co.id/facebook-dan-instagram-ads.html,REWRITE,https://beriklan.co.id/blog/facebook-dan-instagram-ads,facebook dan instagram ads,MEDIUM,Marketing/dev pillar post (facebook-dan-instagram-ads)
https://www.beriklan.co.id/iklan-untuk-website.html,REWRITE,https://beriklan.co.id/blog/iklan-untuk-website,iklan untuk website,MEDIUM,Marketing/dev pillar post (iklan-untuk-website)
https://www.beriklan.co.id/buat-iklan-di-google-ads.html,REWRITE,https://beriklan.co.id/blog/buat-iklan-di-google-ads,buat iklan di google ads,MEDIUM,Marketing/dev pillar post (buat-iklan-di-google-ads)
https://www.beriklan.co.id/jasa-online-marketing.html,REWRITE,https://beriklan.co.id/blog/jasa-online-marketing,jasa online marketing,HIGH,Marketing/dev pillar post (jasa-online-marketing)
https://www.beriklan.co.id/harga-pasang-iklan-di-google-ads.html,REWRITE,https://beriklan.co.id/blog/harga-pasang-iklan-di-google-ads,harga pasang iklan di google ads,MEDIUM,Marketing/dev pillar post (harga-pasang-iklan-di-google-ads)
https://www.beriklan.co.id/buat-iklan-google-ads.html,REWRITE,https://beriklan.co.id/blog/buat-iklan-google-ads,buat iklan google ads,MEDIUM,Marketing/dev pillar post (buat-iklan-google-ads)
https://www.beriklan.co.id/biaya-pasang-iklan-di-google-ads.html,REWRITE,https://beriklan.co.id/blog/biaya-pasang-iklan-di-google-ads,biaya pasang iklan di google ads,MEDIUM,Marketing/dev pillar post (biaya-pasang-iklan-di-google-ads)
https://www.beriklan.co.id/jasa-iklan-di-instagram-2025.html,MERGE,https://beriklan.co.id/blog/jasa-iklan-di-instagram,jasa iklan di instagram,LOW,Duplicate/variant of jasa-iklan-di-instagram
https://www.beriklan.co.id/promosi-di-google-2025.html,MERGE,https://beriklan.co.id/blog/promosi-di-google,promosi di google,LOW,Duplicate/variant of promosi-di-google
https://www.beriklan.co.id/jasa-iklan-instagram-ads-2025.html,MERGE,https://beriklan.co.id/blog/jasa-iklan-instagram-ads,jasa iklan instagram ads,LOW,Duplicate/variant of jasa-iklan-instagram-ads
https://www.beriklan.co.id/jasa-pembuatan-iklan-di-facebook-2025.html,MERGE,https://beriklan.co.id/blog/jasa-pembuatan-iklan-di-facebook,jasa pembuatan iklan di facebook,LOW,Duplicate/variant of jasa-pembuatan-iklan-di-facebook
https://www.beriklan.co.id/jasa-pembuatan-google-ads.html,REWRITE,https://beriklan.co.id/blog/jasa-pembuatan-google-ads,jasa pembuatan google ads,MEDIUM,Marketing/dev pillar post (jasa-pembuatan-google-ads)
https://www.beriklan.co.id/jasa-iklan-website.html,REWRITE,https://beriklan.co.id/blog/jasa-iklan-website,jasa iklan website,MEDIUM,Marketing/dev pillar post (jasa-iklan-website)
https://www.beriklan.co.id/promo-google-ads.html,REWRITE,https://beriklan.co.id/blog/promo-google-ads,promo google ads,MEDIUM,Marketing/dev pillar post (promo-google-ads)
https://www.beriklan.co.id/beriklan-di-google-2025.html,MERGE,https://beriklan.co.id/blog/beriklan-di-google,beriklan di google,LOW,Duplicate/variant of beriklan-di-google
https://www.beriklan.co.id/jasa-google-ads-surabaya.html,KEEP_LOCAL,https://beriklan.co.id/jasa-google-ads/surabaya,jasa google-ads surabaya,MEDIUM,Local SEO pillar for surabaya
https://www.beriklan.co.id/iklan-google-ads.html,REWRITE,https://beriklan.co.id/blog/iklan-google-ads,iklan google ads,HIGH,Marketing/dev pillar post (iklan-google-ads)
https://www.beriklan.co.id/jasa-google-ads-jogja.html,MERGE,https://beriklan.co.id/blog/jasa-google-ads-yogyakarta,jasa google ads yogyakarta,LOW,Duplicate/variant of jasa-google-ads-yogyakarta
https://www.beriklan.co.id/jasa-iklan-google-jakarta.html,KEEP_LOCAL,https://beriklan.co.id/jasa-google-ads/jakarta,jasa google-ads jakarta,MEDIUM,Local SEO pillar for jakarta
https://www.beriklan.co.id/beriklan-di-google-ads.html,REWRITE,https://beriklan.co.id/blog/beriklan-di-google-ads,beriklan di google ads,MEDIUM,Marketing/dev pillar post (beriklan-di-google-ads)
https://www.beriklan.co.id/jasa-google-ads-jakarta.html,KEEP_LOCAL,https://beriklan.co.id/jasa-google-ads/jakarta,jasa google-ads jakarta,MEDIUM,Local SEO pillar for jakarta
https://www.beriklan.co.id/pasang-iklan-google.html,REWRITE,https://beriklan.co.id/blog/pasang-iklan-google,pasang iklan google,MEDIUM,Marketing/dev pillar post (pasang-iklan-google)
https://www.beriklan.co.id/jasa-iklan-google-ads-murah-2025.html,MERGE,https://beriklan.co.id/blog/jasa-iklan-google-ads-murah,jasa iklan google ads murah,LOW,Duplicate/variant of jasa-iklan-google-ads-murah
https://www.beriklan.co.id/jasa-pasang-iklan-di-google-2025.html,MERGE,https://beriklan.co.id/blog/jasa-pasang-iklan-di-google,jasa pasang iklan di google,LOW,Duplicate/variant of jasa-pasang-iklan-di-google
https://www.beriklan.co.id/jasa-iklan-google-bandung.html,KEEP_LOCAL,https://beriklan.co.id/jasa-google-ads/bandung,jasa google-ads bandung,MEDIUM,Local SEO pillar for bandung
https://www.beriklan.co.id/pasang-iklan-di-google.html,REWRITE,https://beriklan.co.id/blog/pasang-iklan-di-google,pasang iklan di google,MEDIUM,Cluster/auto-classified as REWRITE
https://www.beriklan.co.id/jasa-iklan-google-ads-terbaik-2025.html,MERGE,https://beriklan.co.id/blog/jasa-iklan-google-ads-terbaik,jasa iklan google ads terbaik,LOW,Duplicate/variant of jasa-iklan-google-ads-terbaik
https://www.beriklan.co.id/jasa-google-ads-terbaik-2025.html,MERGE,https://beriklan.co.id/blog/jasa-google-ads-terbaik,jasa google ads terbaik,LOW,Duplicate/variant of jasa-google-ads-terbaik
https://www.beriklan.co.id/bikin-iklan-di-google.html,REWRITE,https://beriklan.co.id/blog/bikin-iklan-di-google,bikin iklan di google,MEDIUM,Marketing/dev pillar post (bikin-iklan-di-google)
https://www.beriklan.co.id/jasa-google-ads-bali.html,KEEP_LOCAL,https://beriklan.co.id/jasa-google-ads/bali,jasa google-ads bali,MEDIUM,Local SEO pillar for bali
https://www.beriklan.co.id/pasang-google-ads-2025.html,MERGE,https://beriklan.co.id/blog/pasang-google-ads,pasang google ads,LOW,Duplicate/variant of pasang-google-ads
https://www.beriklan.co.id/iklan-di-google.html,REWRITE,https://beriklan.co.id/blog/iklan-di-google,iklan di google,MEDIUM,Marketing/dev pillar post (iklan-di-google)
https://www.beriklan.co.id/paket-iklan-google-ads.html,REWRITE,https://beriklan.co.id/blog/paket-iklan-google-ads,paket iklan google ads,MEDIUM,Marketing/dev pillar post (paket-iklan-google-ads)
https://www.beriklan.co.id/pasang-iklan-google-ads.html,REWRITE,https://beriklan.co.id/blog/pasang-iklan-google-ads,pasang iklan google ads,HIGH,Marketing/dev pillar post (pasang-iklan-google-ads)
https://www.beriklan.co.id/jasa-iklan-instagram-2025.html,MERGE,https://beriklan.co.id/blog/jasa-iklan-instagram,jasa iklan instagram,LOW,Duplicate/variant of jasa-iklan-instagram
https://www.beriklan.co.id/jasa-iklan-facebook-2025.html,MERGE,https://beriklan.co.id/blog/jasa-iklan-facebook,jasa iklan facebook,LOW,Duplicate/variant of jasa-iklan-facebook
https://www.beriklan.co.id/iklan-website-di-google.html,REWRITE,https://beriklan.co.id/blog/iklan-website-di-google,iklan website di google,MEDIUM,Marketing/dev pillar post (iklan-website-di-google)
https://www.beriklan.co.id/beriklan-di-google.html,REWRITE,https://beriklan.co.id/blog/beriklan-di-google,beriklan di google,MEDIUM,Marketing/dev pillar post (beriklan-di-google)
